rank,time,date,name,position,DOB,venue,nationality 
1802,17:18.13,31 MAR 2017,Emily DOWNEY,23f1,,San Francisco (USA),USA
1803,17:18.16,31 MAR 2017,Ali HESTER,7f4,,St. Louis (USA),USA
1804,17:18.18,01 JUL 2017,T&#237;ra PAVUK,1,15 MAR 1999,Budapest (HUN),HUN
1805,17:18.21,11 APR 2017,Shasha ZHANG,15,13 JUL 1993,Zhengzhou (CHN),CHN
1806,17:18.28,08 JUL 2017,Fatiha IDMHAND,4,02 MAY 1977,Albi (FRA),FRA
1807,17:18.29,31 MAR 2017,Kaili KEEFE,24f1,,San Francisco (USA),USA
1808,17:18.30,11 MAR 2017,Vilma MONTES,2,1990,Lima (PER),PER
1809,17:18.37,12 MAY 2017,Audra DESTEFANO,11,,Logan (USA),USA
1810,17:18.42,09 SEP 2017,Line KALSTRUP SCHULZ,2,18 JUL 1996,Odense (DEN),DEN
1811,17:18.45,14 APR 2017,Erin ARTZ,25f2,,Torrance (USA),USA
1812,17:18.46,09 SEP 2017,Fiammetta TROXLER,1,15 AUG 1996,Lausanne (SUI),SUI
1813,17:18.48,19 AUG 2017,Elke GODDEN,6,1996,Kessel-Lo (BEL),BEL
1814,17:18.54,28 APR 2017,Madeline YUNGBLUT,20,29 NOV 1994,Hillsdale (USA),CAN
1815,17:18.57,06 MAY 2017,Avery BUSSJAGER,3,,"Lexington, KY (USA)",USA
1816,17:18.63,15 APR 2017,Abby GUGEL,6f1,,Providence (USA),USA
1817,17:18.73,16 JUN 2017,Monica HEBNER,5f2,,Greensboro (USA),USA
1818,17:18.76,17 MAR 2017,Tori PARKINSON,1,,Irvine (USA),USA
1819,17:18.77,09 JUN 2017,Khadija BOUDJELLOULI,1,16 SEP 1987,Montauban (FRA),FRA
1819,17:18.77,08 JUL 2017,Svetlana SHESTAKOVA,1,30 APR 1992,Moskva (RUS),RUS
1819,17:18.77,02 SEP 2017,Aneta CHLEBIKOV&#193;,4,25 JUN 1997,Praha (CZE),CZE
1822,17:18.79,31 MAR 2017,Sarah LIVETT,25f1,16 NOV 1993,San Francisco (USA),GBR
1823,17:18.83,27 APR 2017,Elena ARRIAZA,15f2,,Philadelphia (USA),USA
1824,17:18.89,31 MAR 2017,Madeline HUGLEN,4f2,,San Marcos (USA),USA
1825,17:18.91,22 APR 2017,Deysi Gilda CABRERA FLORES,11,14 JAN 1996,Lima (PER),BOL
1826,17:18.94,01 MAY 2017,Elizabeth APSLEY,12f2,12 JAN 1997,Bedford (GBR),GBR
1826,17:18.94,14 MAY 2017,Skyler FLORA,32,,Eugene (USA),USA
1828,17:19.02,15 APR 2017,Ariel MICHALEK,1,,Terre Haute (USA),USA
1829,17:19.03,31 MAR 2017,Abby TRIPP,8f4,,St. Louis (USA),USA
1829,17:19.03,21 APR 2017,Reagan HAUSMANN,1,17 FEB 1998,Norman (USA),USA
1831,17:19.04,25 AUG 2017,Eli Anne DVERGSDAL,9,19 NOV 1991,Sandnes (NOR),NOR
1832,17:19.08,21 APR 2017,Allison MARELLA,13f1,,Princeton (USA),USA
1832,17:19.08,28 SEP 2017,Teleah HAYES,2,09 SEP 1997,Gold Coast (AUS),AUS
1834,17:19.11,31 MAR 2017,Hope JONES,1f4,,St. Louis (USA),USA
1835,17:19.12,25 SEP 2017,Kriranjit KOUR,5,14 JUN 1988,Chennai (IND),IND
1836,17:19.14,03 JUN 2017,Elizabeth CHOQUEVILLCA,2,,Tarija (BOL),BOL
1837,17:19.24,21 MAY 2017,Claudia PRISECARU,3,02 SEP 1997,Pitesti (ROU),ROU
1837,17:19.24,22 JUL 2017,Una BRITTON,6,1990,Tullamore (IRL),IRL
1839,17:19.27,23 JUN 2017,Agnes PORTIER,21,01 JUN 1983,Carquefou (FRA),FRA
1840,17:19.29,22 APR 2017,Grace DWYER,5f3,,Charlottesville (USA),USA
1841,17:19.32,31 MAR 2017,Devin NORTON,5f2,,San Marcos (USA),USA
1842,17:19.37,10 MAR 2017,Courtney MOORE,15f1,,Los Angeles (USA),USA
1843,17:19.41,13 APR 2017,Lorraine FERNANDEZ,15f3,,Azusa (USA),USA
1844,17:19.44,10 MAR 2017,Brianna JACKLIN,4f1,,Fullerton (USA),USA
1845,17:19.47,31 MAR 2017,Kelsey SCHRADER,19f2,13 JAN 1996,San Francisco (USA),USA
1846,17:19.50,31 MAR 2017,Fiona DANIEU,17f1,,Williamsburg (USA),USA
1847,17:19.53,18 JUL 2017,Naima MASOUDI,1,1988,Trento (ITA),ITA
1848,17:19.54,27 MAY 2017,Yuka KANESUGI,32,1998,Yokohama (JPN),JPN
1848,17:19.54,09 JUL 2017,Eliza MEGGER,1,28 SEP 1999,Toruń (POL),POL
1850,17:19.59,17 MAR 2017,Katherine BADHAM,3,18 DEC 1998,Hamilton (NZL),NZL
1850,17:19.59,28 APR 2017,Elena LANCIONI,21,,Hillsdale (USA),USA
1852,17:19.60,16 JUN 2017,Amanda BEACH,6f2,,Greensboro (USA),USA
1853,17:19.62,01 JUL 2017,Yesica MAS,5,22 JAN 1990,Ordizia (ESP),ESP
1854,17:19.68,16 JUL 2017,Tess BOEKEMA,10,,Utrecht (NED),NED
1855,17:19.78,14 APR 2017,Sofie GALLEIN,19f1,07 AUG 1992,Torrance (USA),BEL
1856,17:19.80,02 JUN 2017,Agnes CHEPTOO,5,2002,Nakuru (KEN),KEN
1857,17:19.87,31 MAR 2017,Jessica SHAW,9f4,,St. Louis (USA),USA
1857,17:19.87,30 JUN 2017,Jolie TOPS,3,,Vught (NED),NED
1859,17:19.93,12 SEP 2017,Ilaria SABBATINI,2,1994,Rubiera (ITA),ITA
1860,17:19.97,31 MAR 2017,Kyla DANFORTH,11f1,,Los Angeles (USA),USA
1861,17:20.00,02 MAR 2017,Katie GAMBLE,7f1,1996,Melbourne (AUS),AUS
1862,17:20.04,13 APR 2017,Christian PROVENCE,4f4,,Azusa (USA),USA
1862,17:20.04,28 APR 2017,Katrina ALLISON,22,21 FEB 1994,Hillsdale (USA),CAN
1864,17:20.05,31 MAR 2017,Casey MONOSZLAY,6f3,,San Francisco (USA),USA
1865,17:20.07,31 MAR 2017,Lauryn BARRIENTOS,6f2,,San Marcos (USA),USA
1866,17:20.11,30 OCT 2017,Yesemin GONZALEZ,1,20 OCT 1989,Talca (CHI),CHI
1867,17:20.13,10 MAR 2017,Emily LOPEZ,5f1,,Fullerton (USA),USA
1868,17:20.16,15 APR 2017,Sarah KEIRAN,7f1,29 MAR 1995,Providence (USA),USA
1869,17:20.18,30 MAR 2017,Cara SHERMAN,13f1,,Gainesville (USA),USA
1870,17:20.23,14 MAY 2017,Kelly DELGADO,1,21 MAR 1986,Medell&#237;n (COL),COL
1871,17:20.24,14 APR 2017,Rose MASCOLI,22,,Lewisburg (USA),USA
1872,17:20.26,01 APR 2017,Alayna SONNESYN,1,,Smithfield (USA),USA
1872,17:20.26,09 JUN 2017,Valentina GEMETTO,2,04 FEB 1998,Firenze (ITA),ITA
1874,17:20.30,31 MAR 2017,Brittany STANLEY,18f1,,Williamsburg (USA),USA
1875,17:20.33,07 MAY 2017,Cassandra GILL,1,,Lawrenceville (USA),USA
1876,17:20.40,02 SEP 2017,M.N. PRIYADARSHANI,1,,Diyagama (SRI),SRI
1877,17:20.43,11 MAR 2017,Sarah ANDERSON,2,,Davis (USA),USA
1878,17:20.45,11 MAY 2017,Annie MARGGRAFF,5f3,,Naperville (USA),USA
1879,17:20.60,02 JUN 2017,Faith CHERONO,6,2003,Nakuru (KEN),KEN
1880,17:20.66,25 MAR 2017,Amanda MARINO,5,19 OCT 1989,West Long Branch (USA),USA
1880,17:20.66,31 MAR 2017,Kayle BLACKMORE,7f3,,San Francisco (USA),USA
1880,17:20.66,25 SEP 2017,Savita PAL,7,15 DEC 1999,Chennai (IND),IND
1883,17:20.70,30 MAR 2017,Maddox PATTERSON,14f1,,Gainesville (USA),USA
1884,17:20.81,07 MAY 2017,Elisa HERNANDEZ,4,03 JUL 1994,Xalapa (MEX),MEX
1885,17:20.84,17 MAY 2017,Sabrina HERRMANN,5f1,,Swarthmore (USA),USA
1886,17:20.86,13 APR 2017,Taryn SURRATT,17f3,,Azusa (USA),USA
1887,17:20.97,27 APR 2017,Crystal BACON,19f1,,Philadelphia (USA),USA
1888,17:20.98,11 JUN 2017,Kellys Yesenia ARIAS FIGUEROA,3,03 JUN 1989,Medell&#237;n (COL),COL
1889,17:21.03,22 APR 2017,Gladys CHERIUYOT,6f3,,Charlottesville (USA),KEN
1890,17:21.06,21 APR 2017,Kaitlin YORK,6,,Auburn (USA),USA
1891,17:21.07,13 JAN 2017,Rochelle RODGERS,2,15 APR 1987,Perth (AUS),AUS
1892,17:21.08,08 APR 2017,Tara CONNELLY,1f2,,Princeton (USA),USA
1892,17:21.08,13 MAY 2017,Zennah JEPCHUMBA,1,,Monmouth (USA),KEN
1894,17:21.11,07 APR 2017,HollyAnn GOBLE,4,,Auburn (USA),USA
1895,17:21.18,07 MAY 2017,Talia GUEVARA,5,,Durham (USA),USA
1896,17:21.24,24 MAR 2017,Hannah WOLKENHAUER,7f2,,Raleigh (USA),USA
1897,17:21.27,30 JUN 2017,Ellen VAN DER KOLK,4,1998,Vught (NED),NED
1898,17:21.31,10 MAR 2017,Elizabeth CAMY,18f1,1983,Los Angeles (USA),USA
1898,17:21.31,13 APR 2017,Sophie LINN,22f2,13 MAR 1995,Azusa (USA),AUS
1898,17:21.31,13 APR 2017,Sydney LAWRENCE,5f4,,Azusa (USA),USA
101,15:30.32,13 JUL 2017,Misaki ONISHI,7f1,24 FEB 1985,Abashiri (JPN),JPN
102,15:30.91,05 MAY 2017,Margherita MAGNANI,6f2,26 FEB 1987,Palo Alto (USA),ITA
103,15:31.07,16 JUN 2017,Rachel CLIFF,2,01 APR 1988,"Portland, OR (USA)",CAN
104,15:31.21,22 JUL 2017,Liv WESTPHAL,15,22 DEC 1993,Heusden-Zolder (BEL),FRA
105,15:31.39,13 JUL 2017,Nana KURAOKA,8f1,13 SEP 1997,Abashiri (JPN),JPN
106,15:32.25,13 JUL 2017,Miyuki UEHARA,9f1,22 NOV 1995,Abashiri (JPN),JPN
107,15:32.34,23 JUN 2017,Jessica TONN,12,15 FEB 1992,Sacramento (USA),USA
108,15:32.49,18 MAY 2017,Elaina TABB,7,17 DEC 1991,Los Angeles (USA),USA
109,15:32.89,24 SEP 2017,Misaki KATO,8f2,15 JUN 1991,Osaka (JPN),JPN
110,15:32.92,19 AUG 2017,Pamela CHEROTICH,1,1986,Kessel-Lo (BEL),KEN
111,15:33.06,05 MAY 2017,Rachel SCHNEIDER,8f2,18 JUL 1991,Palo Alto (USA),USA
111,15:33.06,31 MAY 2017,Volha MAZURONAK,1,14 APR 1989,Brest (BLR),BLR
113,15:33.09,05 MAY 2017,Nicole SIFUENTES,15f1,30 JUN 1986,Palo Alto (USA),CAN
114,15:33.14,13 JUL 2017,Kaori MORITA,10f1,09 SEP 1995,Abashiri (JPN),JPN
115,15:33.25,01 JUL 2017,Paulina KACZYŃSKA,1,24 JUL 1991,Bialogard (POL),POL
116,15:33.28,23 JUN 2017,Nazret Weldu GHEBREHIWET,2,1990,Carquefou (FRA),ERI
117,15:33.61,29 APR 2017,Ryo KOIDO,7f1,19 SEP 1997,Hiroshima (JPN),JPN
118,15:33.86,26 MAY 2017,Yekaterina ISHOVA,1,17 JAN 1989,Sochi (RUS),RUS
119,15:34.14,02 JUN 2017,Sandra Chebet TUEI,2,20 JAN 1998,And&#250;jar (ESP),KEN
120,15:34.17,13 JUL 2017,Do-Yeon KIM,11f1,02 SEP 1993,Abashiri (JPN),KOR
121,15:34.44,26 MAY 2017,Olga KUNGINA,2,17 DEC 1986,Sochi (RUS),RUS
122,15:34.60,08 JUL 2017,Viktoriya POHORYELSKA,2,04 AUG 1990,Kropyvnytskiy (UKR),UKR
123,15:34.82,27 MAY 2017,Jessica JUDD,1,07 JAN 1995,Manchester (GBR),GBR
124,15:34.91,02 JUN 2017,Salom&#233; NYIRARUKUNDO,5,20 DEC 1997,Nijmegen (NED),RWA
125,15:35.55,24 MAR 2017,Allie BUCHALSKI,1f5,12 JAN 1995,Raleigh (USA),USA
126,15:36.55,02 JUN 2017,Kalkidan FENTA,4,09 MAY 1998,And&#250;jar (ESP),ETH
127,15:36.74,13 JUL 2017,Da-Eun JUNG,12f1,05 MAY 1997,Abashiri (JPN),KOR
128,15:37.12,06 OCT 2017,Azusa SUMI,2,12 AUG 1996,Matsuyama (JPN),JPN
129,15:37.13,01 JUL 2017,Meskerem MAMO,1,13 APR 1999,Tlemcen (ALG),ETH
130,15:37.34,22 JUL 2017,Louise CARTON,17,16 APR 1994,Heusden-Zolder (BEL),BEL
131,15:37.40,26 MAY 2017,Lyudmila LEBEDEVA,3,23 MAY 1990,Sochi (RUS),RUS
132,15:37.69,23 JUN 2017,Samantha NADEL,14,05 JUN 1994,Sacramento (USA),USA
133,15:37.82,06 OCT 2017,Keiko NOGAMI,3,06 DEC 1985,Matsuyama (JPN),JPN
134,15:37.90,11 JUN 2017,Calli THACKERY,3f1,09 JAN 1993,"Portland, OR (USA)",GBR
135,15:38.70,02 DEC 2017,Harumi OKAMOTO,4f6,07 FEB 1998,Yokohama (JPN),JPN
136,15:38.82,09 DEC 2017,Mai NISHIWAKI,1f3,09 FEB 1993,Yamaguchi (JPN),JPN
137,15:39.11,02 DEC 2017,Misaki OGATA,5f6,21 FEB 1997,Yokohama (JPN),JPN
138,15:39.30,31 MAR 2017,Amy-Eloise NEALE,1f1,05 AUG 1995,Palo Alto (USA),GBR
139,15:39.38,02 DEC 2017,Sakiko NAITO,6f6,02 SEP 1994,Yokohama (JPN),JPN
140,15:39.43,09 DEC 2017,Kasumi NISHIHARA,2f3,01 MAR 1989,Yamaguchi (JPN),JPN
141,15:39.82,02 DEC 2017,Mai SHOJI,7f6,09 DEC 1993,Yokohama (JPN),JPN
142,15:39.87,02 DEC 2017,Mikuni YADA,8f6,29 OCT 1999,Yokohama (JPN),JPN
143,15:39.95,08 JUL 2017,Sara MOREIRA,1,17 OCT 1985,Maia (POR),POR
144,15:40.15,24 JUN 2017,Charlotte ARTER,2,18 JUN 1991,Watford (GBR),GBR
145,15:40.18,22 JUL 2017,Mel LAWRENCE,18,29 AUG 1989,Heusden-Zolder (BEL),USA
146,15:40.37,24 JUN 2017,Hyvin KIYENG,4,13 JAN 1992,Nairobi (KEN),KEN
147,15:40.42,29 APR 2017,Natsuki SEKIYA,9f1,17 MAY 1997,Hiroshima (JPN),JPN
148,15:40.50,02 JUN 2017,Hawi FEYSA,5,01 FEB 1999,And&#250;jar (ESP),ETH
149,15:40.69,09 DEC 2017,Fumika SASAKI,3f3,23 MAY 1993,Yamaguchi (JPN),JPN
150,15:40.73,22 JUL 2017,Maja M&#214;LLER ALM,19,10 JUL 1988,Heusden-Zolder (BEL),DEN
151,15:41.23,22 APR 2017,Erika KEMP,1f1,26 JAN 1995,Charlottesville (USA),USA
152,15:41.27,25 JUN 2017,Rika KASEDA,11,02 MAR 1999,Osaka (JPN),JPN
153,15:41.28,14 APR 2017,Brenda FLORES,5f1,04 SEP 1991,Torrance (USA),MEX
154,15:41.29,11 JUN 2017,Sarah INGLIS,4f1,28 AUG 1991,"Portland, OR (USA)",GBR
155,15:41.34,02 DEC 2017,Miki MORIBAYASHI,9f6,05 SEP 1999,Yokohama (JPN),JPN
155,15:41.34,09 DEC 2017,Kanami SAGAYAMA,4f3,09 JUL 1998,Yamaguchi (JPN),JPN
157,15:41.54,02 DEC 2017,Maki IZUMIDA,10f6,22 JAN 1996,Yokohama (JPN),JPN
158,15:41.60,25 JUN 2017,Risa YOKOE,12,12 OCT 1994,Osaka (JPN),JPN
159,15:41.66,22 JUL 2017,Alycia CRIDEBRING,21,11 JAN 1992,Heusden-Zolder (BEL),USA
160,15:41.94,23 JUN 2017,Cavaline NAHIMANA,3,14 JAN 1997,Carquefou (FRA),BDI
161,15:42.06,06 OCT 2017,Rino GOSHIMA,5,29 OCT 1997,Matsuyama (JPN),JPN
162,15:42.09,02 DEC 2017,Yuka KATO,11f6,,Yokohama (JPN),JPN
163,15:42.17,02 DEC 2017,Sakie ARAI,12f6,23 JUN 1994,Yokohama (JPN),JPN
164,15:42.27,13 MAY 2017,Louise SMALL,1,27 MAR 1992,Solihull (GBR),GBR
165,15:42.37,02 DEC 2017,Misaki TANABE,13f6,31 AUG 1995,Yokohama (JPN),JPN
166,15:42.81,11 JUN 2017,Natasha WODAK,5f1,17 DEC 1981,"Portland, OR (USA)",CAN
167,15:42.82,02 DEC 2017,Eri UTSUNOMIYA,14f6,,Yokohama (JPN),JPN
168,15:43.04,28 JUL 2017,Anna ILYINA,2,14 AUG 1994,Zhukovskiy (RUS),RUS
169,15:43.07,22 APR 2017,Anna ROHRER,2f1,24 FEB 1997,Charlottesville (USA),USA
169,15:43.07,23 JUN 2017,Samira MEZEGHRANE,4,29 DEC 1979,Carquefou (FRA),FRA
171,15:43.10,02 DEC 2017,Saori NODA,15f6,30 MAR 1993,Yokohama (JPN),JPN
172,15:43.18,29 APR 2017,Moeno NAKAMURA,10f1,21 MAR 1990,Hiroshima (JPN),JPN
173,15:43.49,02 DEC 2017,Naruha SATO,16f6,02 OCT 1997,Yokohama (JPN),JPN
174,15:43.61,14 APR 2017,Anne-Marie BLANEY,7f1,,Torrance (USA),USA
175,15:43.84,10 JUN 2017,Alsu BOGDANOVA,2,12 MAY 1994,Eugene (USA),RUS
176,15:43.97,24 SEP 2017,Chikako MORI,12f2,25 NOV 1992,Osaka (JPN),JPN
177,15:44.12,24 SEP 2017,Sayaka SATO,1f1,27 MAY 1994,Osaka (JPN),JPN
178,15:44.14,24 SEP 2017,Misaki HAYASHIDA,13f2,31 JAN 1996,Osaka (JPN),JPN
179,15:44.34,05 MAY 2017,Emelia GORECKA,10f2,29 JAN 1994,Palo Alto (USA),GBR
180,15:44.51,16 JUN 2017,Sharon LOKEDI,4,,"Portland, OR (USA)",USA
181,15:44.75,28 JUL 2017,Gulshat GAYNETDINOVA,4,28 AUG 1992,Zhukovskiy (RUS),RUS
182,15:44.80,10 JUN 2017,Katherine RECEVEUR,3,19 JAN 1996,Eugene (USA),USA
183,15:44.91,06 OCT 2017,Mao KIYOTA,7,12 SEP 1993,Matsuyama (JPN),JPN
184,15:45.32,09 DEC 2017,Hisami ISHII,7f3,10 AUG 1995,Yamaguchi (JPN),JPN
185,15:45.84,16 JUN 2017,Jordan HASAY,5,21 SEP 1991,"Portland, OR (USA)",USA
186,15:46.11,02 JUL 2017,Verity OCKENDEN,4,31 AUG 1991,Birmingham (GBR),GBR
187,15:46.12,29 APR 2017,Riho TAKAMIZAWA,11f1,12 APR 1997,Hiroshima (JPN),JPN
188,15:46.18,10 JUN 2017,Allie OSTRANDER,4,24 DEC 1996,Eugene (USA),USA
189,15:46.42,07 SEP 2017,Xu QIUZI,1,08 FEB 1991,Tianjin (CHN),CHN
190,15:46.89,09 DEC 2017,Sakiho TSUTSUI,8f3,09 JAN 1996,Yamaguchi (JPN),JPN
191,15:46.90,31 MAR 2017,Brianna ILARDA,4f1,19 FEB 1996,Palo Alto (USA),AUS
192,15:46.92,15 JUL 2017,Loganathan SURIYA,1,07 JUL 1990,Guntur (IND),IND
193,15:46.93,10 JUN 2017,Fiona O&#39;KEEFFE,5,24 MAY 1998,Eugene (USA),USA
194,15:47.05,07 SEP 2017,Shuangshuang XU,2,06 APR 1996,Tianjin (CHN),CHN
195,15:47.24,09 DEC 2017,Nanako KANNO,9f3,30 OCT 1994,Yamaguchi (JPN),JPN
196,15:47.25,02 DEC 2017,Naoko KOIZUMI,17f6,14 DEC 1992,Yokohama (JPN),JPN
197,15:47.27,07 SEP 2017,Maojie CAO,3,10 APR 1992,Tianjin (CHN),CHN
198,15:47.29,25 JUN 2017,Fabienne SCHLUMPF,1,17 NOV 1990,Vaasa (FIN),SUI
199,15:47.30,07 SEP 2017,Xinyan ZHANG,4,09 FEB 1994,Tianjin (CHN),CHN
200,15:47.97,13 MAY 2017,Jip VASTENBURG,13,21 MAR 1994,Shanghai (CHN),NED
1901,17:21.32,14 APR 2017,Adriana OLIVAS,17f2,,Torrance (USA),USA
1902,17:21.34,11 MAY 2017,Leah WESSLER,6f3,,Naperville (USA),USA
1903,17:21.35,29 APR 2017,Alexa SHINDRUK,1f2,,Bellingham (USA),USA
1904,17:21.40,30 MAR 2017,Jenna HALDERMAN,16,,Austin (USA),USA
1905,17:21.41,09 APR 2017,S.A. LAMAHEWAGE,1,04 JUN 1990,Diyagama (SRI),SRI
1906,17:21.45,13 APR 2017,Ashley TYNDALL,6f4,,Azusa (USA),USA
1907,17:21.51,05 SEP 2017,Jingjing LIU,13h2,03 OCT 1996,Tianjin (CHN),CHN
1908,17:21.55,10 JUN 2017,Sandra ELTSCHKNER,3,1987,Regensburg (GER),GER
1909,17:21.62,26 AUG 2017,Macruary KIRSTIAN,4,,Grangemouth (GBR),GBR
1910,17:21.63,28 JUN 2017,Jenny JAGGER,4,07 AUG 1981,Barcelona (ESP),GBR
1911,17:21.66,21 APR 2017,Kathryn GEARHART,5f2,09 MAY 1998,Princeton (USA),USA
1912,17:21.76,22 JUL 2017,Katelyn MURPHY,6,1999,Trujillo (PER),CAN
1913,17:21.78,08 APR 2017,Hayden BATES,9f1,,Fairfax (USA),USA
1913,17:21.78,14 MAY 2017,Gintarė ZENKEVIČIŪTĖ,15,10 AUG 1993,Lawrence (USA),LTU
1915,17:21.81,24 MAR 2017,Nina BENDIXEN,13f3,,Raleigh (USA),USA
1916,17:21.83,14 MAY 2017,Riley COONEY,16,,Lawrence (USA),USA
1917,17:21.86,03 JUN 2017,Dagmara HANDZLIK,3,20 FEB 1986,Serravalle (ITA),CYP
1917,17:21.86,18 JUL 2017,Agnese TOZZATO,3,1997,Trento (ITA),ITA
1919,17:21.89,13 APR 2017,Lillianna STELLING,18f3,,Azusa (USA),USA
1920,17:21.90,25 AUG 2017,Lisbeth PEDERSEN,10,20 NOV 1975,Sandnes (NOR),NOR
1921,17:21.93,02 JUL 2017,Paula GONZALEZ,4,03 MAY 1996,Torrent (ESP),ESP
1922,17:21.94,14 MAY 2017,Ashley BARNES,3f1,1998,Houston (USA),USA
1923,17:21.95,31 MAR 2017,Nicole MURPHY,20f1,,Williamsburg (USA),USA
1924,17:21.96,21 APR 2017,Grace MEYER,3,,Atlanta (USA),USA
1925,17:21.98,14 APR 2017,Amanda ASARO,24,,Lewisburg (USA),USA
1926,17:21.99,22 APR 2017,Kameron BURMEISTER,1f1,,Allendale (USA),USA
1927,17:22.01,31 MAR 2017,Josephine BOSSERMAN,19f4,,Palo Alto (USA),USA
1928,17:22.03,07 MAY 2017,Albrecht AUTUMN,6,,Durham (USA),USA
1929,17:22.05,07 APR 2017,Rachel SLINGLUFF,9,,Tuscaloosa (USA),USA
1930,17:22.08,31 MAR 2017,Melina KUERSCHNER,8f3,1998,San Francisco (USA),CAN
1930,17:22.08,14 MAY 2017,Vir&#225;g WEILER,5,14 JAN 1996,Miskolc (HUN),HUN
1932,17:22.12,15 APR 2017,Alicia BELKO,1,,Pomona (USA),USA
1933,17:22.20,13 APR 2017,Brooke PIGNERI,7f4,,Azusa (USA),USA
1933,17:22.20,21 APR 2017,Emilea FINLEY,2,,Norman (USA),USA
1935,17:22.23,25 NOV 2017,Meriem DAOUI,1,1999,Hobart (AUS),AUS
1936,17:22.24,22 APR 2017,Abby JOCKISCH,2,,Champaign (USA),USA
1937,17:22.27,17 MAR 2017,Adrianna COOK,1,,High Point (USA),USA
1937,17:22.27,22 JUL 2017,Anna W&#211;JCIK,12,19 MAY 1994,Białystok (POL),POL
1939,17:22.37,30 APR 2017,Tatiana DE SOUZA ARA&#218;JO,1,04 AUG 1991,Campinas (BRA),BRA
1940,17:22.42,28 APR 2017,Mackenzie KELLY,1f1,09 JAN 1997,Indianola (USA),USA
1941,17:22.46,06 MAY 2017,Abigail FRANKIAN,9f2,,Eagle Rock (USA),USA
1942,17:22.52,14 MAY 2017,Ashbrook GWINN,20,,Atlanta (USA),USA
1943,17:22.53,31 MAR 2017,Helen MINO FAUKNER,13f1,,Los Angeles (USA),USA
1944,17:22.57,21 JUL 2017,Ella Jayne REVITT,9,16 MAR 1999,Z&#252;rich (SUI),GBR
1945,17:22.60,13 MAY 2017,Sarah FOGARTY,1,,Edinburg (USA),USA
1946,17:22.62,22 APR 2017,Marissa DOBRY,5,,Lawrence (USA),USA
1946,17:22.62,12 MAY 2017,Karina RODEYUK,1,21 APR 1997,Brest (BLR),BLR
1948,17:22.72,31 MAR 2017,Symone BOOKER,9f3,,San Francisco (USA),USA
1949,17:22.83,17 MAR 2017,Annie RODENFELS,6f3,,Memphis (USA),USA
1950,17:22.86,11 JUN 2017,Vera GULY&#193;S,5,10 MAR 1986,Sz&#233;kesfeh&#233;rv&#225;r (HUN),HUN
1951,17:22.92,07 APR 2017,Theresa HARTO,10,,Tuscaloosa (USA),USA
1952,17:22.95,16 JUN 2017,Karly ACKLEY,1f1,,Greensboro (USA),USA
1953,17:22.99,23 NOV 2017,Anna SAW,14f1,23 APR 1987,Melbourne (AUS),AUS
1954,17:23.03,24 SEP 2017,Lia VISINTIN,7,1996,Modena (ITA),ITA
1955,17:23.12,13 APR 2017,Emily BERZONSKY,8f4,,Azusa (USA),USA
1956,17:23.16,13 APR 2017,Allyson GIRARD,1f5,,Azusa (USA),USA
1957,17:23.19,07 APR 2017,Kristy TERP,11,,Tuscaloosa (USA),USA
1958,17:23.20,25 AUG 2017,Thi Oanh NGUYEN,1,22 FEB 1996,Kuala Lumpur (MAS),VIE
1959,17:23.21,14 APR 2017,Sidney HIRSCH,3f2,1994,Wichita (USA),USA
1960,17:23.25,28 APR 2017,Gladys JEROTICH,4,,Berkeley (USA),USA
1961,17:23.32,28 APR 2017,Kaila GIBSON,3f1,,Corvallis (USA),USA
1962,17:23.35,15 APR 2017,Melissa LODGE,8f1,,Providence (USA),USA
1962,17:23.35,18 JUN 2017,Anna M&#193;T&#201;,2,15 JUL 1999,Budapest (HUN),HUN
1964,17:23.38,01 JUL 2017,Jeanette UWAMBAJIMANO,5,,Tlemcen (ALG),RWA
1965,17:23.40,15 APR 2017,Emily WOLFF,4f3,,New London (USA),USA
1966,17:23.46,14 APR 2017,Antonia PAGLIUCA,1,,Baltimore (USA),USA
1967,17:23.47,31 MAR 2017,Kylie NISHISAKA,10f3,,San Francisco (USA),USA
1968,17:23.48,10 JUN 2017,Ad&#233;la STR&#193;NSK&#193;,5,08 SEP 1991,Třinec (CZE),CZE
1969,17:23.54,12 APR 2017,Sarah KLECKER,1f2,,St. Paul (USA),USA
1970,17:23.59,01 APR 2017,Mary NAAS,4f2,,St. Paul (USA),USA
1971,17:23.61,18 FEB 2017,Emily AUGUSTINE,8f1,21 AUG 1997,Sydney (AUS),AUS
1972,17:23.76,27 APR 2017,Lindsay BILLINGS,19f2,,Philadelphia (USA),USA
1973,17:23.80,13 MAY 2017,Petra KAM&#205;NKOV&#193;,1,19 JAN 1973,Olomouc (CZE),CZE
1974,17:23.87,18 FEB 2017,Brianna THOMAS,4f1,13 JUL 1996,Brisbane (AUS),AUS
1974,17:23.87,24 SEP 2017,Najla AQDEIR,8,03 DEC 1994,Modena (ITA),ITA
1976,17:23.90,24 MAR 2017,Katja W&#214;LFL,5,31 DEC 1995,Houston (USA),USA
1976,17:23.90,13 APR 2017,Michayla MILLER,9f4,,Azusa (USA),USA
1978,17:24.01,21 APR 2017,Julia FLOWER,7f2,25 JUN 1998,Princeton (USA),USA
1979,17:24.05,14 MAY 2017,Courtney MUNLEY,15,1995,University Park (USA),USA
1980,17:24.07,08 APR 2017,Carolyn CONLEY,10f1,,Fairfax (USA),USA
